body_type,body_type_name,local_body_code,local_body_name,assembly_constituency_no,assembly_constituency,mapped_wards_in_constituency,total_mapped_wards,dominant_share,split_constituencies,udf_wins,ldf_wins,nda_wins,oth_wins,ruling_front,ruling_front_count,second_front,second_front_count,third_front,third_front_count
G,Grama Panchayat,G01037,Kuttichal Grampanchayat,136,Aruvikkara,14,15,0.9333,2,8,5,1,1,UDF,8,LDF,5,NDA,1
G,Grama Panchayat,G01038,Uzhamalakkal Gramapanchayath,136,Aruvikkara,16,16,1.0000,1,3,9,4,0,LDF,9,NDA,4,UDF,3
G,Grama Panchayat,G01039,Tholicode Gramapanchayath,136,Aruvikkara,18,18,1.0000,1,11,6,1,0,UDF,11,LDF,6,NDA,1
G,Grama Panchayat,G01040,Karakulam Gramapanchayath,130,Nedumangad,24,24,1.0000,1,8,15,0,1,LDF,15,UDF,8,OTH,1
G,Grama Panchayat,G01041,Aruvikkara Gramapanchayath,136,Aruvikkara,21,21,1.0000,1,6,11,3,1,LDF,11,UDF,6,NDA,3
G,Grama Panchayat,G01042,Vembayam Gramapanchayat,130,Nedumangad,23,23,1.0000,1,8,8,5,2,UDF,8,LDF,8,NDA,5
G,Grama Panchayat,G01043,Anad Gramapanchayath,131,Vamanapuram,19,20,0.9500,2,6,11,2,1,LDF,11,UDF,6,NDA,2
G,Grama Panchayat,G01044,Panavoor Gramapanchayat,131,Vamanapuram,16,16,1.0000,1,4,9,2,1,LDF,9,UDF,4,NDA,2
G,Grama Panchayat,G01045,Vamanapuram Gramapanchayath,131,Vamanapuram,16,16,1.0000,1,8,6,1,1,UDF,8,LDF,6,NDA,1
G,Grama Panchayat,G01046,Manickal Gramapanchayath,130,Nedumangad,23,23,1.0000,1,10,11,2,0,LDF,11,UDF,10,NDA,2
G,Grama Panchayat,G01047,Nellanad Gramapanchayath,131,Vamanapuram,18,18,1.0000,1,8,10,0,0,LDF,10,UDF,8,,
G,Grama Panchayat,G01048,Pullampara Gramapanchayath,131,Vamanapuram,16,16,1.0000,1,7,7,1,1,UDF,7,LDF,7,NDA,1
G,Grama Panchayat,G01049,Nanniyode Gramapanchayath,131,Vamanapuram,18,18,1.0000,1,7,9,2,0,LDF,9,UDF,7,NDA,2
G,Grama Panchayat,G01050,Peringamala Gramapanchayath,131,Vamanapuram,19,19,1.0000,1,12,7,0,0,UDF,12,LDF,7,,
G,Grama Panchayat,G01051,Kallara Grampanchayat,95,Vaikom,14,14,1.0000,1,11,3,4,0,UDF,11,NDA,4,LDF,3
G,Grama Panchayat,G01052,Pangode Gramapanchayath,131,Vamanapuram,19,19,1.0000,1,6,7,2,4,LDF,7,UDF,6,OTH,4
G,Grama Panchayat,G01053,Pulimath Gramapanchayath,128,Attingal,20,20,1.0000,1,7,12,1,0,LDF,12,UDF,7,NDA,1
G,Grama Panchayat,G01054,Karavaram Gramapanchayath,128,Attingal,20,20,1.0000,1,2,13,1,4,LDF,13,OTH,4,UDF,2
G,Grama Panchayat,G01055,Nagaroor Grampanchayat,128,Attingal,18,18,1.0000,1,3,13,1,1,LDF,13,UDF,3,NDA,1
G,Grama Panchayat,G01056,Pazhayakunnummel Gramapanchayath,128,Attingal,17,17,1.0000,1,7,10,0,0,LDF,10,UDF,7,,
G,Grama Panchayat,G01057,Kilimanoor Grama Panchayath,128,Attingal,16,16,1.0000,1,5,9,2,0,LDF,9,UDF,5,NDA,2
G,Grama Panchayat,G01058,Navaikulam Gramapanchayath,127,Varkala,24,24,1.0000,1,12,6,6,0,UDF,12,LDF,6,NDA,6
G,Grama Panchayat,G01059,Madavoor Grampanchayat,127,Varkala,16,16,1.0000,1,7,3,6,0,UDF,7,NDA,6,LDF,3
G,Grama Panchayat,G01060,Pallikkal Grampanchayat,127,Varkala,14,14,1.0000,1,5,6,1,2,LDF,6,UDF,5,OTH,2
G,Grama Panchayat,G01061,Anjuthengu Grampanchayat,129,Chirayinkeezhu,14,14,1.0000,1,7,7,0,0,UDF,7,LDF,7,,
G,Grama Panchayat,G01062,Vakkom Gramapanchayath,128,Attingal,14,14,1.0000,1,5,8,1,0,LDF,8,UDF,5,NDA,1
G,Grama Panchayat,G01063,Chirayinkeezhu Gramapanchayath,129,Chirayinkeezhu,19,19,1.0000,1,5,12,2,0,LDF,12,UDF,5,NDA,2
G,Grama Panchayat,G01064,Kizhuvilam Gramapanchayat,129,Chirayinkeezhu,20,21,0.9524,2,11,6,2,2,UDF,11,LDF,6,NDA,2
G,Grama Panchayat,G01065,Mudakkal Gramapanchayath,129,Chirayinkeezhu,20,22,0.9091,2,4,5,12,1,NDA,12,LDF,5,UDF,4
G,Grama Panchayat,G01066,Kadakkavoor Gramapanchayath,128,Attingal,11,17,0.6471,2,4,9,4,0,LDF,9,UDF,4,NDA,4
G,Grama Panchayat,G01067,Vettoor Gramapanchayath,127,Varkala,13,15,0.8667,2,10,4,1,0,UDF,10,LDF,4,NDA,1
G,Grama Panchayat,G01068,Cherunniyoor Grampanchayat,128,Attingal,15,15,1.0000,1,2,9,4,0,LDF,9,NDA,4,UDF,2
G,Grama Panchayat,G01069,Edava Gramapanchayath,127,Varkala,17,17,1.0000,1,6,10,1,1,LDF,10,UDF,6,NDA,1
G,Grama Panchayat,G01070,Elakamon Gramapanchayath,127,Varkala,18,18,1.0000,1,6,10,1,1,LDF,10,UDF,6,NDA,1
G,Grama Panchayat,G01071,Chemmaruthy Gramapanchayath,127,Varkala,20,20,1.0000,1,9,9,1,1,UDF,9,LDF,9,NDA,1
G,Grama Panchayat,G01072,Manampoor Gramapanchayat,128,Attingal,17,17,1.0000,1,5,6,5,1,LDF,6,UDF,5,NDA,5
G,Grama Panchayat,G02001,Oachira Gramapanchayath,116,Karunagapally,19,19,1.0000,1,11,3,4,1,UDF,11,NDA,4,LDF,3
G,Grama Panchayat,G02002,Kulasekharapuram Grama Panchayat,116,Karunagapally,24,24,1.0000,1,10,7,4,3,UDF,10,LDF,7,NDA,4
G,Grama Panchayat,G02003,Thazhava Grama Panchayat,116,Karunagapally,24,24,1.0000,1,9,10,5,0,LDF,10,UDF,9,NDA,5
G,Grama Panchayat,G02004,Clappana Gramapanchayat,116,Karunagapally,16,16,1.0000,1,10,6,0,0,UDF,10,LDF,6,,
G,Grama Panchayat,G02006,Thodiyoor Grama Panchayat,116,Karunagapally,24,24,1.0000,1,9,13,2,0,LDF,13,UDF,9,NDA,2
G,Grama Panchayat,G02007,Sasthamcotta Gramapanchayath,118,Kunnathur,21,21,1.0000,1,9,11,0,1,LDF,11,UDF,9,OTH,1
G,Grama Panchayat,G02008,West Kallada Gramapanchayat,118,Kunnathur,15,15,1.0000,1,5,7,2,1,LDF,7,UDF,5,NDA,2
G,Grama Panchayat,G02009,Sooranad South Grama Panchayat,118,Kunnathur,17,17,1.0000,1,8,7,2,0,UDF,8,LDF,7,NDA,2
G,Grama Panchayat,G02010,Poruvazhi Gramapanchayath,118,Kunnathur,19,19,1.0000,1,4,8,4,3,LDF,8,UDF,4,NDA,4
G,Grama Panchayat,G02012,Sooranad North Grama Panchayat,118,Kunnathur,19,19,1.0000,1,8,7,2,2,UDF,8,LDF,7,NDA,2
G,Grama Panchayat,G02013,Mynagappally Grama Panchayat,118,Kunnathur,24,24,1.0000,1,7,12,2,3,LDF,12,UDF,7,OTH,3
G,Grama Panchayat,G02014,Ummannoor Gramapanchayath,119,Kottarakkara,20,21,0.9524,2,9,9,3,0,UDF,9,LDF,9,NDA,3
G,Grama Panchayat,G02015,Vettikavala Gramapanchayath,120,Pathanapuram,22,22,1.0000,1,9,11,2,0,LDF,11,UDF,9,NDA,2
G,Grama Panchayat,G02016,Melila Gramapanchayath,120,Pathanapuram,16,16,1.0000,1,11,5,0,0,UDF,11,LDF,5,,
G,Grama Panchayat,G02017,Mylom Gramapanchayath,119,Kottarakkara,21,21,1.0000,1,4,11,5,1,LDF,11,NDA,5,UDF,4
G,Grama Panchayat,G02018,Kulakkada Gramapanchayath,119,Kottarakkara,20,20,1.0000,1,8,9,1,2,LDF,9,UDF,8,OTH,2
G,Grama Panchayat,G02019,Pavithreswaram Gramapanchayath,118,Kunnathur,16,20,0.8000,2,12,5,3,0,UDF,12,LDF,5,NDA,3
