year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2021,Thrissur,61,61,Chelakkara,K RADHAKRISHNAN,CPI(M),83415,54.41,True,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Thrissur,61,61,Chelakkara,C C SREEKUMAR,INC,44015,28.71,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Thrissur,61,61,Chelakkara,SHAJUMON VATTEKKAD,BJP,24045,15.68,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Thrissur,61,61,Chelakkara,CHANDRAN THIYATH,SDPI,1120,0.73,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
2021,Thrissur,61,61,Chelakkara,NOTA,NOTA,720,0.47,False,https://www.ceo.kerala.gov.in/pdf/GE-2021/statistical_report.pdf
