year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2016,Kozhikode,20,20,Vadakara,C K NANU,JD(S),49211,37.9797,True,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,MANAYATH CHANDRAN,JD(U),39700,30.6393,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,K K REMA T P HOUSE,IND,20504,15.8244,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,ADV. M. RAJESH KUMAR,BJP,13937,10.7562,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,P ABDUL HAMEED MASTER,SDPI,2673,2.0629,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,MADAPPARAMBATH CHANDRAN,IND,1648,1.2719,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,NOTA,NOTA,506,0.3905,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,K K REMA KUNIYIL,IND,352,0.2717,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,STALIN P P,CPI(ML)REDSTAR,284,0.2192,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,T K NANU THAZHE KANDOTH,IND,279,0.2153,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,MATHATH CHANDRAN,IND,240,0.1852,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
2016,Kozhikode,20,20,Vadakara,T P RAMA VADAKKE EROTH,IND,238,0.1837,False,https://www.ceo.kerala.gov.in/ceokerala/pdf/BOOTH_WISE_RESULTS/GE2016/020.pdf
