year,district,district_id,constituency_id,constituency_number,constituency,candidate,party,alliance,votes,margin,round_status,is_winner,source_url
2026,Kozhikode,4,30,30,Kunnamangalam,M.A. RAZAK MASTER,IUML,UDF,91598.0,13313.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,31,31,Koduvally,P K FIROS,IUML,UDF,95164.0,36682.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kozhikode,4,32,32,Thiruvambady,C K KASIM,IUML,UDF,77140.0,6741.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,33,33,Kondotty,T.P. ASHRAFALI,IUML,UDF,114997.0,56017.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,34,34,Eranad,P.K.BASHEER,IUML,UDF,98547.0,41289.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,35,35,Nilambur,ARYADAN SHOUKATH,INC,UDF,113586.0,54851.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,36,36,Wandoor,A.P ANILKUMAR,INC,UDF,121074.0,47939.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,37,37,Manjeri,ADV. M. RAHMATHULLA,IUML,UDF,113622.0,57887.0,21/21,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,38,38,Perinthalmanna,NAJEEB KANTHAPURAM,IUML,UDF,104888.0,32431.0,22/22,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,39,39,Mankada,MANJALAMKUZHI ALI,IUML,UDF,110692.0,45609.0,22/22,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,40,40,Malappuram,P.K KUNHALIKUTTY,IUML,UDF,131632.0,85327.0,26/26,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,41,41,Vengara,K.M. SHAJI,IUML,UDF,95863.0,30325.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,42,42,Vallikkunnu,T V IBRAHIM,IUML,UDF,100718.0,51289.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,43,43,Tirurangadi,P M A SAMEER,IUML,UDF,111869.0,63387.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,44,44,Tanur,P K NAVAS,IUML,UDF,91992.0,27131.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,45,45,Tirur,KURUKKOLI MOIDEEN,IUML,UDF,106108.0,24137.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,46,46,Kottakkal,PROF. ABID HUSSAIN THANGAL,IUML,UDF,118111.0,62638.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,47,47,Thavanur,ADV. V S JOY,INC,UDF,79661.0,14647.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Malappuram,5,48,48,Ponnani,K.P NOUSHAD ALI,INC,UDF,80674.0,13267.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,49,49,Thrithala,V T BALRAM,INC,UDF,76427.0,8385.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,50,50,Pattambi,MUHAMMED MUHASSIN,CPI,LDF,80062.0,9442.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Palakkad,6,51,51,Shornur,P.MAMMIKUTTY,CPI(M),LDF,70583.0,16517.0,12/12,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
