year,party,seats_won,votes,constituencies,candidates,total_valid_votes
2011,CPI(M),35,2276528,138,951,17166738
2011,INC,32,1975223,138,951,17166738
2011,UNKNOWN,24,1550583,138,951,17166738
2011,IUML,19,1162004,138,951,17166738
2011,CPI,9,589044,138,951,17166738
2011,KEC(M),4,246779,138,951,17166738
2011,OTH,3,197830,138,951,17166738
2011,JD[S],3,184299,138,951,17166738
2011,NCP,2,134286,138,951,17166738
2011,SJ [D],2,124182,138,951,17166738
2011,IND,2,123898,138,951,17166738
2011,ML,1,62843,138,951,17166738
2011,RSP,1,51271,138,951,17166738
2011,JD [S],1,46912,138,951,17166738
