year,district,constituency_id,constituency_number,constituency,candidate,party,votes,vote_share,is_winner,source_url
2011,Alappuzha,103,103,Cherthala,P.THILOTHAMAN,CPI,86193,53.1128,True,https://www.ceo.kerala.gov.in/pdf/form20/103.pdf
2011,Alappuzha,103,103,Cherthala,K.R.GOURIAMMA,UNKNOWN,67878,41.8269,False,https://www.ceo.kerala.gov.in/pdf/form20/103.pdf
2011,Alappuzha,103,103,Cherthala,P.K.BINOY,BJP,5933,3.656,False,https://www.ceo.kerala.gov.in/pdf/form20/103.pdf
2011,Alappuzha,103,103,Cherthala,K.R.RAJEEVAN,UNKNOWN,1185,0.7302,False,https://www.ceo.kerala.gov.in/pdf/form20/103.pdf
2011,Alappuzha,103,103,Cherthala,SHAJIMON,OTH,1094,0.6741,False,https://www.ceo.kerala.gov.in/pdf/form20/103.pdf
