year,party,seats_won,votes,constituencies,candidates,total_valid_votes
2021,CPI(M),62,4519210,140,1097,20833888
2021,INC,21,1462238,140,1097,20833888
2021,CPI,17,1205839,140,1097,20833888
2021,IUML,15,1145362,140,1097,20833888
2021,IND,6,439340,140,1097,20833888
2021,KEC(M),5,289429,140,1097,20833888
2021,JD(S),2,146850,140,1097,20833888
2021,NCP,2,141018,140,1097,20833888
2021,KEC,2,127161,140,1097,20833888
2021,KEC(J),1,85056,140,1097,20833888
2021,NSC,1,70704,140,1097,20833888
2021,LJD,1,70626,140,1097,20833888
2021,KEC(B),1,67276,140,1097,20833888
2021,RMPOI,1,65093,140,1097,20833888
2021,C(S),1,60313,140,1097,20833888
2021,INL,1,52557,140,1097,20833888
2021,JKC,1,48748,140,1097,20833888
